monthly_commits,monthly_contributors,monthly_open_PRs,monthly_closed_PRs,monthly_merged_PRs,monthly_PR_mergers,monthly_PR_comments,monthly_open_issues,monthly_closed_issues,monthly_issue_comments,monthly_stargazer,monthly_forks,monthly_watchers,closed_PRs_2mo
23,1,0,0,0,0,0,0,3,9,11,8,4,0
58,1,0,0,0,0,0,0,12,28,96,20,1,0
38,6,0,0,0,0,0,0,21,33,108,29,1,0
32,3,0,0,0,0,0,0,30,93,119,34,5,1
79,5,17,0,17,1,4,0,47,75,201,55,8,6
52,6,13,1,12,1,0,0,65,139,160,65,3,1
31,4,20,6,11,1,11,0,95,305,208,62,1,0
24,4,8,1,6,1,2,0,36,71,257,90,5,1
39,5,13,0,12,1,1,1,46,125,290,70,0,6
13,3,7,1,4,1,4,0,80,170,310,84,2,0
41,5,14,6,13,1,21,0,49,72,262,102,3,2
12,5,4,0,5,1,0,0,25,26,303,74,6,0
12,4,4,2,3,1,1,0,39,74,228,63,0,0
8,1,1,0,1,1,0,0,10,16,198,58,0,0
0,0,0,0,0,0,0,0,6,18,215,56,1,1
12,5,4,0,0,0,1,0,4,10,139,36,0,1
23,4,2,1,5,2,9,0,182,515,198,67,2,0
9,2,2,1,1,1,6,0,45,125,208,56,0,0
10,2,0,0,0,0,0,0,20,84,196,51,1,0
8,3,3,0,3,1,4,0,21,40,201,47,1,0
5,1,0,0,0,0,0,0,18,52,178,52,1,0
7,2,1,0,1,1,20,0,23,73,174,47,1,0
61,3,3,0,3,1,0,0,19,57,185,50,1,0
22,2,0,0,0,0,0,0,5,21,151,36,1,0
32,4,3,0,3,2,0,1,15,112,267,44,2,0
11,4,0,0,0,0,0,1,10,28,172,49,1,0
6,2,0,0,0,0,0,0,6,14,182,35,1,0
7,2,0,0,0,0,0,0,7,8,112,35,0,0
