monthly_commits,monthly_contributors,monthly_open_PRs,monthly_closed_PRs,monthly_merged_PRs,monthly_PR_mergers,monthly_PR_comments,monthly_open_issues,monthly_closed_issues,monthly_issue_comments,monthly_stargazer,monthly_forks,monthly_watchers,closed_PRs_2mo
1,1,0,0,0,0,0,0,1,1,15,3,0,0
33,1,0,0,0,0,0,0,0,0,24,6,1,0
21,1,0,0,0,0,0,0,0,0,161,16,1,0
26,1,0,0,0,0,0,0,1,2,99,11,0,0
6,1,0,0,0,0,0,0,0,0,23,5,1,0
17,2,1,0,1,1,0,0,1,0,72,8,0,0
16,1,0,0,0,0,0,0,0,0,39,3,0,0
8,1,0,0,0,0,0,0,0,0,37,3,0,0
3,1,0,0,0,0,0,0,0,0,23,4,0,0
26,2,2,0,2,1,2,0,3,5,72,8,0,0
4,1,0,0,0,0,0,0,0,0,21,3,0,2
33,1,0,0,0,0,0,0,0,0,70,1,0,0
30,1,2,2,0,0,0,0,3,3,105,20,1,0
20,1,0,0,0,0,0,0,0,0,61,7,0,0
2,1,0,0,0,0,0,0,0,0,32,4,0,0
10,1,0,0,0,0,0,0,0,0,18,3,0,0
11,1,0,0,0,0,0,0,0,0,46,9,0,0
11,1,0,0,0,0,0,0,0,0,43,5,0,0
0,0,0,0,0,0,0,0,0,0,23,3,0,0
0,0,0,0,0,0,0,0,0,0,24,6,0,0
3,1,0,0,0,0,0,0,0,0,36,2,0,0
9,1,0,0,0,0,0,0,0,0,63,4,1,0
28,2,2,0,2,1,2,0,2,1,119,11,0,0
25,1,0,0,0,0,0,0,0,0,28,1,0,0
27,1,0,0,0,0,0,0,0,0,31,7,0,0
