monthly_commits,monthly_contributors,monthly_open_PRs,monthly_closed_PRs,monthly_merged_PRs,monthly_PR_mergers,monthly_PR_comments,monthly_open_issues,monthly_closed_issues,monthly_issue_comments,monthly_stargazer,monthly_forks,monthly_watchers,closed_PRs_2mo
68,2,1,0,1,1,24,0,1,12,4,0,0,0
53,2,4,0,4,1,2,1,7,11,7,3,1,1
29,3,1,0,0,0,1,2,6,19,10,2,1,0
63,3,2,1,2,1,1,0,7,26,1,1,1,0
135,3,2,0,2,2,0,0,20,25,8,1,0,1
151,2,0,0,0,0,0,0,19,19,11,5,1,0
58,2,1,1,0,0,2,1,9,14,16,2,1,2
44,2,1,0,1,1,0,0,6,12,6,2,1,1
55,5,8,2,6,1,10,0,24,74,20,4,1,0
48,4,2,1,1,1,10,1,18,81,6,1,0,1
24,3,0,0,0,0,0,0,4,17,9,1,0,0
64,2,1,1,0,0,2,0,8,10,7,3,0,0
46,3,0,0,0,0,0,1,6,21,8,3,1,0
29,3,2,0,2,1,0,0,8,16,43,4,2,0
47,2,1,0,1,1,0,0,10,17,14,3,1,1
125,4,1,0,1,1,0,1,41,87,24,1,1,0
137,2,4,1,3,2,0,1,23,83,25,1,1,0
5,2,0,0,0,0,0,1,3,16,23,2,2,0
133,2,0,0,0,0,0,1,36,104,30,7,1,1
175,7,9,0,9,2,2,3,59,62,34,4,1,0
64,5,2,1,1,1,2,3,36,140,18,9,0,0
27,1,1,0,1,1,0,2,21,84,18,2,1,0
25,3,1,0,1,1,0,1,15,50,24,1,1,0
23,4,1,0,1,1,0,0,11,27,25,3,1,0
71,4,1,0,1,1,0,2,16,44,30,4,1,0
55,5,2,0,2,2,0,2,22,30,28,12,0,0
55,4,1,0,1,1,0,6,19,60,22,7,0,0
54,5,0,0,0,0,0,0,39,156,27,10,0,0
77,4,1,0,1,1,4,1,35,88,29,3,1,0
47,3,0,0,0,0,0,1,20,28,30,3,1,0
25,2,0,0,0,0,0,0,12,14,20,3,1,0
25,2,0,0,0,0,0,1,12,17,23,7,0,0
48,2,0,0,0,0,0,0,14,12,38,6,1,0
136,2,0,0,0,0,0,0,41,48,24,2,0,0
21,2,0,0,0,0,0,3,19,59,21,3,0,0
28,3,0,0,0,0,0,0,11,12,23,11,0,0
84,3,0,0,0,0,0,0,25,28,14,5,0,0
25,5,0,0,0,0,0,0,13,32,26,8,0,0
11,2,0,0,0,0,0,0,1,2,18,5,0,0
58,3,0,0,0,0,0,1,19,19,12,8,1,0
37,4,0,0,0,0,0,1,18,43,18,8,0,0
41,2,0,0,0,0,0,6,31,153,33,11,0,0
