monthly_commits,monthly_contributors,monthly_open_PRs,monthly_closed_PRs,monthly_merged_PRs,monthly_PR_mergers,monthly_PR_comments,monthly_open_issues,monthly_closed_issues,monthly_issue_comments,monthly_stargazer,monthly_forks,monthly_watchers,closed_PRs_2mo
69,1,0,0,0,0,0,2,1,6,0,0,2,0
133,1,0,0,0,0,0,0,0,0,0,0,1,0
249,1,0,0,0,0,0,0,0,0,2,0,1,0
162,1,0,0,0,0,0,0,0,0,0,0,2,0
158,1,0,0,0,0,0,0,3,11,1,0,5,0
149,1,0,0,0,0,0,0,1,3,6,0,1,0
91,1,0,0,0,0,0,0,0,0,5,1,0,0
151,2,1,0,1,1,0,0,5,19,15,2,1,0
158,1,0,0,0,0,0,0,1,3,8,0,1,1
59,4,4,0,3,1,4,5,3,17,229,9,0,0
205,5,11,1,11,1,20,6,22,75,117,4,1,0
148,1,0,0,0,0,0,0,3,4,23,1,0,0
289,1,0,0,0,0,0,2,1,16,23,3,0,5
121,3,2,0,1,1,0,2,1,25,19,5,0,3
1252,5,14,5,9,1,36,0,20,24,22,3,0,1
290,3,6,3,4,1,20,2,10,27,34,2,0,0
138,2,2,1,0,0,10,3,3,28,27,6,0,0
134,3,0,0,1,1,8,0,2,16,28,2,1,3
95,1,0,0,0,0,0,0,1,2,42,8,1,0
277,5,9,3,5,1,9,2,15,68,31,6,1,0
181,3,3,0,4,1,15,1,15,68,33,1,0,0
136,2,1,0,1,1,4,2,4,21,40,6,1,0
136,1,0,0,0,0,0,2,1,21,43,4,0,2
95,4,10,0,10,1,16,3,48,208,61,4,0,0
37,4,6,2,4,1,6,7,14,49,38,2,1,1
2,2,1,0,1,1,2,2,5,34,55,3,1,0
6,2,3,1,2,1,6,6,10,26,36,3,1,0
8,1,0,0,0,0,0,2,7,35,43,5,0,0
1,1,0,0,0,0,0,3,4,24,39,8,1,1
25,3,1,0,1,1,2,8,5,35,49,3,2,0
51,4,7,1,5,1,69,1,13,55,37,3,0,2
77,5,6,0,6,1,32,3,7,20,35,5,1,1
50,6,7,2,3,1,7,9,11,84,52,11,0,0
34,2,0,1,1,1,10,5,7,63,46,3,0,0
10,3,4,0,2,1,5,11,6,56,42,5,1,0
0,0,3,0,0,0,3,8,0,15,49,5,0,0
1,1,1,0,0,0,1,5,2,87,39,3,0,0
0,0,0,0,0,0,0,4,4,2,27,2,0,0
0,0,0,0,0,0,0,7,1,17,37,4,0,0
0,0,3,0,0,0,1,9,1,14,48,9,1,0
