monthly_commits,monthly_contributors,monthly_open_PRs,monthly_closed_PRs,monthly_merged_PRs,monthly_PR_mergers,monthly_PR_comments,monthly_open_issues,monthly_closed_issues,monthly_issue_comments,monthly_stargazer,monthly_forks,monthly_watchers,closed_PRs_2mo
117,3,0,0,0,0,0,0,1,0,0,0,0,0
90,3,0,0,0,0,0,0,0,0,0,0,0,0
14,3,0,0,0,0,0,0,2,0,0,0,0,0
39,2,0,0,0,0,0,0,1,0,0,0,0,0
23,1,0,0,0,0,0,0,0,0,0,0,0,0
121,4,0,0,0,0,0,0,3,0,0,0,0,0
81,2,0,0,0,0,0,0,1,0,0,0,0,0
106,4,0,0,0,0,0,0,1,0,0,0,0,0
82,3,0,0,0,0,0,2,0,1,0,0,0,0
152,5,0,0,0,0,0,1,5,5,0,0,0,0
91,3,0,0,0,0,0,0,1,0,5,0,0,0
141,5,0,0,0,0,0,1,9,1,7,0,0,0
133,5,0,0,0,0,0,2,19,20,12,0,0,0
89,4,0,0,0,0,0,0,21,22,8,0,0,0
97,4,0,0,0,0,0,1,15,13,13,4,0,0
87,4,1,0,1,1,2,0,18,12,6,4,0,1
109,4,0,0,0,0,0,0,22,13,16,1,0,2
137,6,1,1,0,0,0,2,29,29,7,3,0,0
85,5,2,2,0,0,2,1,17,17,22,5,0,0
80,5,0,0,0,0,0,2,28,33,18,2,0,0
41,5,0,0,0,0,0,2,20,18,16,1,0,0
28,3,0,0,0,0,0,4,14,30,13,2,0,0
97,4,0,0,0,0,0,1,24,22,19,3,0,0
11,3,0,0,0,0,0,1,2,5,13,1,0,0
22,5,0,0,0,0,0,0,5,5,11,0,0,0
106,6,0,0,0,0,0,1,23,67,15,1,0,0
95,5,0,0,0,0,0,5,38,62,15,4,0,0
4,2,0,0,0,0,0,1,2,1,14,2,0,0
67,4,0,0,0,0,0,2,24,24,18,3,0,1
171,4,0,0,0,0,0,1,11,24,12,2,0,0
