monthly_commits,monthly_contributors,monthly_open_PRs,monthly_closed_PRs,monthly_merged_PRs,monthly_PR_mergers,monthly_PR_comments,monthly_open_issues,monthly_closed_issues,monthly_issue_comments,monthly_stargazer,monthly_forks,monthly_watchers,closed_PRs_2mo
37,2,1,0,1,1,2,0,2,7,292,35,3,0
9,1,0,0,0,0,0,0,0,0,22,5,4,1
3,1,1,0,0,0,2,0,0,0,27,5,0,1
24,3,3,1,1,1,22,0,3,5,95,14,3,0
30,6,4,1,5,1,36,0,11,41,207,25,3,2
12,4,2,0,2,1,6,0,3,5,131,25,1,0
5,2,4,2,1,1,15,0,6,13,52,6,2,0
6,2,1,0,1,1,0,0,7,26,66,10,2,0
10,4,3,0,3,1,4,0,4,3,47,9,3,2
0,0,2,0,0,0,3,0,0,0,78,8,4,2
0,0,1,2,0,0,1,0,2,1,66,8,0,0
38,5,5,2,3,1,41,0,12,43,84,14,2,0
4,2,0,0,1,1,14,0,6,27,59,7,2,0
21,3,1,0,1,1,2,0,1,1,63,16,1,0
20,6,3,0,2,1,22,1,3,21,89,12,4,0
6,1,0,0,2,1,30,0,7,41,100,16,6,0
2,1,0,0,0,0,0,0,17,55,87,13,4,0
5,2,1,0,0,0,12,0,9,12,79,9,1,1
23,4,2,0,2,1,18,0,4,34,94,12,1,0
10,3,2,1,2,1,10,0,9,27,108,19,2,0
18,4,4,0,4,1,8,0,14,42,145,25,2,1
4,2,1,0,1,1,2,0,5,16,241,32,1,0
2,1,1,1,0,0,4,0,8,18,928,68,0,0
0,0,0,0,0,0,0,0,7,12,268,51,0,0
1,1,1,0,0,0,1,1,7,11,188,29,0,0
4,1,0,0,1,1,1,0,9,27,180,29,0,0
3,1,1,0,0,0,3,0,9,24,179,40,2,1
27,3,3,0,1,1,12,2,16,46,174,30,1,0
10,3,3,1,2,1,10,0,11,23,180,28,1,0
1,1,1,0,1,1,4,0,6,13,154,26,0,3
1,1,3,0,0,0,7,2,3,12,178,33,5,2
3,1,2,3,0,0,5,1,20,65,139,19,1,0
0,0,1,2,0,0,8,0,14,35,117,21,0,0
