monthly_commits,monthly_contributors,monthly_open_PRs,monthly_closed_PRs,monthly_merged_PRs,monthly_PR_mergers,monthly_PR_comments,monthly_open_issues,monthly_closed_issues,monthly_issue_comments,monthly_stargazer,monthly_forks,monthly_watchers,closed_PRs_2mo
15,2,1,0,1,1,0,0,1,0,5,0,0,6
144,12,31,3,21,3,86,0,69,226,2467,93,3,4
223,6,19,6,13,3,92,0,51,185,339,30,0,5
123,6,12,4,8,2,18,1,36,229,122,11,2,5
169,11,41,5,26,3,139,1,73,254,131,21,0,0
152,9,7,5,10,2,47,0,30,89,118,8,1,1
28,3,3,0,1,1,13,0,18,116,133,15,0,0
39,5,3,1,3,1,15,1,27,135,130,11,2,5
39,5,3,0,2,1,43,0,20,70,88,12,0,1
53,5,5,5,6,2,85,1,43,268,72,11,2,3
50,7,8,1,5,2,63,0,20,67,106,7,0,1
40,8,7,3,6,2,31,1,25,113,261,16,1,0
14,4,12,1,6,2,18,0,40,177,582,25,2,1
3,1,9,0,10,3,23,1,33,131,204,20,1,3
8,2,7,1,4,3,13,0,57,283,147,12,0,3
1,1,3,3,4,1,40,0,46,274,110,3,0,1
19,3,7,3,5,2,49,0,36,115,99,13,0,0
19,2,5,1,2,1,11,0,28,137,107,10,1,1
8,1,2,0,5,1,13,0,33,144,111,8,0,0
8,3,5,1,4,1,21,0,41,179,104,11,1,12
12,1,4,0,3,1,12,0,22,90,94,8,1,3
13,3,10,12,1,1,55,0,58,259,158,9,0,0
31,4,2,3,1,1,5,0,42,171,107,5,0,0
13,2,1,0,0,0,0,0,19,57,124,6,0,0
75,6,1,0,1,1,0,0,62,188,114,7,0,2
40,5,1,0,2,1,0,0,47,252,163,12,0,1
79,7,11,2,9,2,24,0,70,148,169,11,0,0
78,6,4,1,2,1,5,1,73,156,233,16,1,0
84,7,3,0,1,1,5,0,49,114,178,19,1,1
35,4,0,0,2,1,1,1,46,208,128,10,0,1
18,5,3,1,1,1,5,0,28,66,117,7,0,0
72,5,2,1,2,2,5,0,67,195,152,6,1,1
16,3,1,0,0,0,4,0,31,99,160,10,1,0
17,6,4,1,2,1,3,1,35,117,128,12,0,0
24,3,1,0,2,1,1,0,42,110,130,11,0,0
