monthly_commits,monthly_contributors,monthly_open_PRs,monthly_closed_PRs,monthly_merged_PRs,monthly_PR_mergers,monthly_PR_comments,monthly_open_issues,monthly_closed_issues,monthly_issue_comments,monthly_stargazer,monthly_forks,monthly_watchers,closed_PRs_2mo
7,1,2,0,2,1,0,0,2,0,2,0,0,0
6,1,2,0,2,1,2,0,2,1,1,0,0,0
64,2,18,0,16,1,32,0,16,11,13,1,0,1
35,2,7,0,7,1,35,0,9,19,11,2,0,0
87,5,27,1,27,2,90,0,37,73,12,2,0,1
114,9,39,0,34,2,193,2,53,154,185,5,0,10
35,6,11,1,10,1,110,0,14,80,28,4,0,1
112,9,33,10,27,3,251,4,55,196,25,6,0,5
72,5,20,1,20,2,122,1,25,71,42,5,0,2
19,4,14,5,7,2,46,2,16,31,16,4,0,3
77,8,29,2,26,2,144,1,45,144,43,4,0,3
21,4,9,3,6,1,55,1,12,49,66,4,0,5
92,5,29,3,26,1,117,1,36,75,40,4,1,2
37,4,14,5,9,1,63,1,17,39,25,7,0,0
55,5,16,2,14,1,67,6,30,108,59,1,0,7
19,4,9,0,7,1,26,1,12,22,35,2,1,3
77,5,23,7,20,1,114,3,32,101,41,4,0,2
101,10,24,3,22,1,159,4,36,184,77,4,1,1
54,9,17,2,8,1,90,2,12,44,72,7,0,4
93,11,15,1,12,1,129,4,17,88,82,8,0,0
84,9,19,4,23,2,122,1,37,113,98,8,0,1
72,4,15,0,15,2,89,4,23,91,80,3,0,8
20,5,16,1,7,2,51,1,10,25,100,9,0,0
36,5,10,8,8,2,57,2,22,81,78,6,0,9
27,3,7,0,5,2,26,2,7,10,220,5,1,2
27,6,14,9,6,1,110,1,37,133,84,11,0,6
110,11,16,2,12,2,105,2,23,107,340,14,0,1
82,7,17,6,17,2,107,3,36,108,155,8,0,0
59,9,17,1,17,3,88,2,24,80,103,10,0,0
43,10,11,0,11,2,80,2,15,67,114,9,0,0
72,9,14,0,14,2,50,3,18,32,142,6,1,0
