monthly_commits,monthly_contributors,monthly_open_PRs,monthly_closed_PRs,monthly_merged_PRs,monthly_PR_mergers,monthly_PR_comments,monthly_open_issues,monthly_closed_issues,monthly_issue_comments,monthly_stargazer,monthly_forks,monthly_watchers,closed_PRs_2mo
229,41,100,16,78,8,376,0,169,518,3600,132,10,54
191,26,109,92,20,6,441,0,192,617,611,51,3,40
109,27,55,54,0,0,383,0,103,388,286,33,7,20
87,16,54,40,0,0,418,0,94,486,220,31,3,25
83,18,26,20,0,0,194,0,50,201,214,29,2,48
71,14,30,25,0,0,265,0,47,204,221,26,2,93
108,23,46,48,0,0,335,0,106,423,241,29,0,51
144,22,82,93,0,0,664,0,129,763,261,32,4,55
111,20,48,51,0,0,337,0,79,312,198,20,1,36
94,23,57,55,0,0,362,0,110,578,169,34,4,27
60,18,27,36,0,0,217,0,61,329,155,21,1,17
42,17,32,27,0,0,234,0,55,250,130,22,6,14
25,17,16,17,0,0,164,0,36,141,205,20,1,1
22,15,16,14,0,0,52,0,50,264,203,16,3,6
17,9,10,1,0,0,32,0,12,48,195,19,1,21
30,13,5,6,0,0,55,0,22,117,165,12,4,21
58,17,10,21,0,0,87,0,60,352,166,9,3,5
35,9,20,21,0,0,83,0,86,455,163,11,0,11
17,7,10,5,0,0,37,0,19,37,134,11,0,63
84,12,10,11,1,1,75,0,17,48,211,16,2,44
231,29,66,63,0,0,349,1,89,271,517,43,0,36
78,25,50,44,0,0,299,2,133,716,210,28,3,22
127,24,34,36,0,0,261,6,70,449,201,27,0,16
72,28,21,22,0,0,84,8,43,179,215,20,0,28
153,26,27,16,0,0,153,8,56,317,189,33,0,1
117,27,19,28,0,0,180,9,157,836,179,21,2,9
57,10,4,1,0,0,69,10,9,44,170,28,1,16
95,19,14,9,0,0,82,7,22,79,154,24,2,40
78,14,18,16,0,0,43,6,24,92,202,21,1,18
68,29,32,40,0,0,305,8,58,236,267,30,2,14
48,26,18,18,0,0,168,9,36,188,165,31,2,19
48,22,16,14,0,0,111,5,36,252,175,22,0,10
42,13,18,19,0,0,48,9,29,121,139,26,1,9
28,18,10,10,0,0,59,5,22,127,145,13,0,11
45,9,14,9,0,0,43,6,13,56,142,23,0,17
42,14,8,11,0,0,31,1,17,61,145,11,0,12
63,20,21,17,0,0,143,4,24,177,141,19,1,8
75,17,8,12,1,1,61,4,25,101,98,17,1,8
74,15,11,8,0,0,14,5,12,50,146,15,2,14
