monthly_commits,monthly_contributors,monthly_open_PRs,monthly_closed_PRs,monthly_merged_PRs,monthly_PR_mergers,monthly_PR_comments,monthly_open_issues,monthly_closed_issues,monthly_issue_comments,monthly_stargazer,monthly_forks,monthly_watchers,closed_PRs_2mo
2,1,0,0,0,0,0,0,1,2,2,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,0,0,0,0,0,0,0,0,1,2,1,0
5,1,0,0,0,0,0,0,0,0,3,0,2,0
6,1,0,0,0,0,0,0,0,0,1,1,1,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,2,1,0,1,1,0,0,1,0,1,0,3,0
0,0,0,0,0,0,0,0,0,0,2,3,1,0
0,0,0,0,0,0,0,0,0,0,5,0,0,0
4,1,0,0,0,0,0,0,0,0,2,0,2,0
0,0,0,0,0,0,0,0,0,0,5,1,1,0
6,1,1,0,1,1,0,0,1,0,6,3,1,0
0,0,1,0,0,0,0,0,1,4,3,1,1,0
29,1,0,0,1,1,0,0,2,4,8,2,0,0
3,1,0,0,0,0,0,0,0,0,4,2,2,0
51,1,13,0,12,1,4,0,15,21,6,1,1,0
38,2,9,0,7,1,35,0,9,32,10,3,0,0
117,1,6,0,9,1,21,0,14,43,5,2,2,1
16,3,4,0,4,1,16,0,6,16,26,3,3,2
25,3,5,1,4,1,6,0,10,25,22,8,1,1
63,22,28,2,24,1,44,0,27,24,31,19,0,2
12,2,3,1,2,1,4,1,10,64,17,6,0,0
15,1,4,2,3,1,2,1,7,27,23,6,2,0
33,3,4,0,5,1,2,0,6,5,18,4,2,0
15,1,0,0,0,0,0,1,4,30,44,9,1,0
10,1,2,0,2,1,0,1,8,27,41,2,2,0
17,1,3,0,3,1,0,0,11,33,35,7,3,0
19,3,3,0,2,1,4,0,9,25,32,9,0,1
130,2,14,0,14,1,2,3,24,77,39,4,0,1
51,4,12,1,11,1,23,1,16,22,65,10,2,0
5,1,2,1,1,1,5,0,6,15,32,3,1,2
30,3,7,0,8,1,12,0,17,56,39,12,0,1
55,5,23,2,18,1,17,1,31,43,53,6,2,1
57,1,19,1,19,1,2,2,30,109,70,5,0,1
44,2,10,1,8,1,1,3,14,24,60,12,0,0
