monthly_commits,monthly_contributors,monthly_open_PRs,monthly_closed_PRs,monthly_merged_PRs,monthly_PR_mergers,monthly_PR_comments,monthly_open_issues,monthly_closed_issues,monthly_issue_comments,monthly_stargazer,monthly_forks,monthly_watchers,closed_PRs_2mo
31,2,5,0,2,1,27,0,6,6,0,1,2,1
65,3,7,1,7,3,78,0,15,57,3,0,1,0
47,3,6,1,6,2,16,0,12,21,3,0,0,0
11,1,1,0,2,1,11,0,5,12,0,0,1,4
108,4,13,0,13,3,12,0,22,18,3,1,0,0
127,3,17,4,13,2,12,0,45,21,7,2,0,1
85,2,1,0,1,1,0,1,28,39,5,1,0,0
68,2,2,1,1,1,0,1,30,25,9,1,0,0
56,2,1,0,1,1,0,0,30,14,4,0,0,0
64,2,0,0,0,0,0,1,30,39,3,2,1,0
46,5,0,0,0,0,0,0,19,22,5,1,1,0
84,3,0,0,0,0,0,0,19,25,6,2,1,0
24,2,0,0,0,0,0,1,54,56,8,2,0,0
46,4,1,0,1,1,0,2,42,42,8,3,2,0
35,2,0,0,0,0,0,0,51,49,7,2,0,0
6,3,0,0,0,0,0,0,7,5,1,1,0,0
22,3,0,0,0,0,0,0,33,25,17,2,0,0
16,1,0,0,0,0,0,1,19,34,10,0,0,0
14,2,0,0,0,0,0,0,27,31,6,2,0,0
18,2,0,0,0,0,0,2,26,62,23,0,0,0
0,0,0,0,0,0,0,1,3,17,8,3,1,0
12,2,0,0,0,0,0,0,21,34,17,1,0,0
6,2,0,0,0,0,0,1,17,37,9,0,0,1
10,3,0,0,0,0,0,1,22,33,9,1,0,0
15,2,1,1,0,0,0,0,25,16,13,6,1,0
23,2,0,0,0,0,0,0,57,70,23,3,1,0
9,2,0,0,0,0,0,0,11,4,26,3,0,0
8,4,2,0,2,1,10,1,28,77,10,6,0,0
131,6,0,0,0,0,0,1,58,123,23,1,0,0
187,6,0,0,0,0,0,2,80,117,108,5,0,0
108,5,2,0,2,1,2,6,47,117,38,2,0,0
131,6,0,0,0,0,0,6,79,229,34,7,0,0
77,3,1,0,1,1,0,6,52,108,51,7,0,1
66,7,1,0,0,0,4,7,40,70,38,6,0,0
88,6,1,1,1,1,4,11,60,183,61,15,0,0
76,5,0,0,0,0,0,1,37,42,32,8,0,0
103,7,0,0,0,0,0,3,46,66,32,4,1,0
118,7,0,0,0,0,0,2,73,142,32,5,0,0
87,5,0,0,0,0,0,9,61,127,48,12,0,0
138,8,0,0,0,0,0,4,94,254,87,14,0,0
72,8,0,0,0,0,0,12,34,116,69,15,0,0
103,9,0,0,0,0,0,9,72,206,60,17,0,0
104,6,0,0,0,0,0,6,68,157,92,12,0,0
111,7,0,0,0,0,0,9,76,157,49,13,0,0
117,6,0,0,0,0,0,9,94,186,63,15,0,0
117,9,0,0,0,0,0,8,47,121,56,16,0,0
87,10,0,0,0,0,0,7,85,368,70,20,0,0
125,12,0,0,0,0,0,16,85,251,78,20,0,0
