monthly_commits,monthly_contributors,monthly_open_PRs,monthly_closed_PRs,monthly_merged_PRs,monthly_PR_mergers,monthly_PR_comments,monthly_open_issues,monthly_closed_issues,monthly_issue_comments,monthly_stargazer,monthly_forks,monthly_watchers,closed_PRs_2mo
60,1,0,0,0,0,0,0,7,3,5,0,0,0
10,1,0,0,0,0,0,0,0,0,1,0,0,0
7,1,0,0,0,0,0,0,0,0,0,0,0,0
57,1,0,0,0,0,0,0,0,0,1,1,0,0
108,1,0,0,0,0,0,0,0,0,4,0,0,0
27,1,0,0,0,0,0,0,0,0,1,0,0,0
6,1,0,0,0,0,0,0,0,0,3,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,0,0,0,0,0,0,0,0,0,1,0,0
10,1,0,0,0,0,0,0,0,0,0,0,0,0
5,1,0,0,0,0,0,0,0,0,1,0,2,0
5,1,0,0,0,0,0,0,0,0,0,0,0,0
2,1,0,0,0,0,0,0,0,0,2,0,0,0
23,1,0,0,0,0,0,0,0,0,3,0,0,0
16,1,0,0,0,0,0,0,0,0,5,0,0,0
3,1,0,0,0,0,0,0,0,0,6,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,0,0,0,0,0,0,0,1,0,0
1,1,0,0,0,0,0,0,0,0,2,0,0,0
0,0,0,0,0,0,0,0,0,0,5,0,0,0
0,0,0,0,0,0,0,1,0,2,1,0,0,0
16,1,0,0,1,1,0,0,8,10,6,0,0,0
2,1,0,0,0,0,0,0,0,0,9,0,0,0
1,1,0,0,0,0,0,0,0,0,3,0,0,0
0,0,0,0,0,0,0,0,0,0,6,0,1,2
0,0,0,0,0,0,0,0,0,0,2,0,0,4
15,1,3,2,1,1,4,0,5,24,3,0,0,0
235,7,34,4,30,2,30,5,61,160,3199,69,0,0
35,1,6,0,6,1,0,0,7,2,160,5,0,0
25,1,3,0,3,1,0,0,7,14,52,1,0,0
10,1,1,0,1,1,0,0,2,7,40,4,0,0
42,1,0,0,0,0,0,1,11,19,27,1,0,0
0,0,0,0,0,0,0,0,0,0,45,0,0,0
0,0,0,0,0,0,0,0,0,0,26,0,0,0
44,2,1,0,1,1,0,4,18,91,37,1,0,0
