monthly_commits,monthly_contributors,monthly_open_PRs,monthly_closed_PRs,monthly_merged_PRs,monthly_PR_mergers,monthly_PR_comments,monthly_open_issues,monthly_closed_issues,monthly_issue_comments,monthly_stargazer,monthly_forks,monthly_watchers,closed_PRs_2mo
1,1,1,1,0,0,2,0,1,1,203,6,0,0
3,3,2,1,1,1,2,0,6,6,38,4,0,1
5,2,3,0,1,1,5,1,3,10,43,6,0,0
0,0,1,1,0,0,4,0,1,2,23,2,0,1
0,0,1,0,0,0,1,0,2,1,32,4,0,0
6,1,1,1,0,0,4,0,4,11,31,3,0,0
1,1,2,0,0,0,3,0,1,1,29,7,0,0
9,1,0,0,1,1,1,0,7,27,42,1,0,1
1,1,1,0,1,1,0,0,2,2,29,5,0,0
10,1,0,1,0,0,2,0,10,26,24,5,0,0
0,0,1,0,0,0,1,0,0,0,31,8,0,0
0,0,0,0,0,0,0,0,0,0,18,3,0,0
0,0,1,0,0,0,2,0,0,0,20,4,0,0
5,1,0,0,0,0,0,0,5,4,18,3,0,0
0,0,0,0,0,0,0,0,0,0,45,5,0,0
0,0,0,0,0,0,0,0,0,0,28,4,0,0
0,0,0,0,0,0,0,0,0,0,19,6,1,0
0,0,0,0,0,0,0,0,1,1,31,7,0,0
0,0,0,0,0,0,0,0,1,1,25,3,0,0
0,0,1,0,0,0,1,0,0,0,38,4,1,0
1,1,0,0,0,0,0,0,5,5,19,5,0,0
0,0,0,0,0,0,0,0,0,0,23,2,0,0
0,0,0,0,0,0,0,0,0,0,26,5,0,0
0,0,0,0,0,0,0,0,1,1,18,6,0,0
0,0,0,0,0,0,0,0,0,0,30,2,0,0
0,0,0,0,0,0,0,0,0,0,19,2,0,0
0,0,0,0,0,0,0,0,0,0,13,3,0,0
0,0,0,0,0,0,0,0,0,0,23,1,1,0
1,1,1,0,1,1,2,0,1,1,22,6,0,0
0,0,0,0,0,0,0,0,0,0,24,3,0,0
0,0,0,0,0,0,0,0,0,0,19,4,0,0
0,0,0,0,0,0,0,0,0,0,16,3,0,0
